id,name,description,created_at,updated_at
78,Disaster Preparedness,,1978-04-19 11:13:08,1979-01-23 19:54:46
79,Military Gear,,2013-07-16 22:12:13,2020-11-04 10:18:40
80,Law Enforcement Equipment,,1982-10-17 21:27:58,2012-04-17 13:02:20
81,Correctional Supplies,,2003-05-16 14:24:22,2024-02-20 19:52:19
82,Judicial Supplies,,2012-10-21 15:11:58,2024-06-17 15:58:03
83,Government Supplies,,1980-03-06 21:26:29,1985-03-07 19:16:28
84,Public Safety Equipment,,2003-11-30 05:48:16,2021-07-09 10:30:11
85,Transportation Equipment,,2002-09-03 04:29:06,2022-08-12 07:38:40
86,Logistics Solutions,,1974-07-29 09:10:09,1984-09-29 02:44:29
87,Warehousing Equipment,,1996-03-06 01:18:48,2006-03-19 14:18:54
88,Material Handling Tools,,1989-09-14 05:10:12,2008-08-10 18:55:14
89,Packaging Equipment,,1998-02-01 22:37:16,2014-04-01 12:31:28
90,Printing Supplies,,1990-10-13 08:50:11,2023-05-15 07:06:50
91,Publishing Materials,,1982-08-18 15:40:19,2009-05-13 15:29:24
92,Advertising Supplies,,2013-04-19 02:10:02,2018-06-29 21:10:30
93,Promotional Items,,1997-12-16 19:22:36,2021-08-08 00:36:20
94,Event Supplies,,2015-03-10 09:05:27,2023-05-10 13:45:20
95,Exhibition Equipment,,2024-07-26 06:18:08,2024-08-09 18:49:42
96,Trade Show Supplies,,2007-12-31 10:48:06,2023-08-22 06:43:47
