id,item_id,description,item_reference,locations,total_on_hand,total_expected,total_ordered,total_allocated,total_available,created_at,updated_at
32,P000032,Cross-platform solution-oriented implementation,mvf31059a,"[2232, 2145, 13608, 5392, 11547, 23486, 34237, 23387, 23053, 13414, 13348, 20662, 33092]",278,0,75,39,164,1998-02-13 12:07:44,2009-06-01 08:38:58
33,P000033,Programmable multimedia functionalities,UEk69613y,"[5082, 14939, 14735, 9174, 9321, 30896, 31080, 34470, 10009, 18792, 31170, 7846]",191,0,35,90,66,1989-06-21 14:08:33,1999-06-08 15:38:28
34,P000034,Reverse-engineered leadingedge groupware,knN82911I,"[26551, 33696, 17648, 17058, 3290, 14163, 14018]",173,0,0,48,125,2007-01-28 02:33:50,2019-12-16 19:38:21
35,P000035,Distributed scalable system engine,rcf16819l,"[783, 23611, 23695, 16601, 23412, 15158, 15309, 33829, 16808, 20862, 20913, 5090]",221,0,40,21,160,1980-07-22 09:29:32,1982-02-13 20:06:41
36,P000036,Implemented secondary alliance,hgY35861p,"[5390, 21650, 21780, 20447, 20291]",77,0,34,31,12,1999-09-03 16:56:18,2000-05-17 15:20:25
37,P000037,Customizable asymmetric complexity,qbV42767G,"[29453, 16757, 22011, 22114, 22449, 22706, 13795, 13866, 12858, 12587, 16408, 16567]",145,0,12,37,96,1991-05-02 17:23:02,1994-11-29 06:24:51
38,P000038,Visionary directional capacity,nVN14962H,"[27520, 18781, 14528, 25709]",50,0,43,54,-47,2024-04-11 23:00:12,2024-06-20 19:42:10
39,P000039,User-centric actuating extranet,yyN97425d,"[20561, 27167, 11924, 11770, 11687, 15393, 15765, 32458, 32377, 13573, 13829]",182,0,48,0,134,1971-09-23 13:12:24,2004-03-10 12:51:34
40,P000040,Enterprise-wide contextually-based projection,zVe06927H,"[20622, 20378, 26504, 16331, 16395, 3402, 3303, 23779, 10094, 5081]",240,0,124,40,76,2014-06-29 15:02:43,2022-07-06 02:00:25
41,P000041,Pre-emptive bandwidth-monitored Local Area Network,MZn96040u,"[15189, 19629, 4851, 14123, 14347, 25825, 33922, 30630, 31270, 31277, 4616, 11318]",301,0,67,44,190,2020-05-19 01:44:53,2020-06-19 20:23:58
42,P000042,Fully-configurable directional complexity,Isi53055s,"[31865, 31589, 25528, 25852, 15115, 15063, 12243, 18507, 20423, 20412, 15157, 15260, 968, 725, 4498, 16728, 16952]",291,0,0,0,291,1981-08-14 06:40:26,2004-02-06 18:44:00
43,P000043,Synergized responsive time-frame,ocP69242Y,"[7223, 7165, 18615, 18538, 25856, 4879, 11625, 269, 230, 20375, 30402, 10205, 7180, 7246]",260,0,67,0,193,1978-05-09 23:21:40,2005-11-16 21:33:08
44,P000044,Ergonomic exuding projection,Noc68275H,"[5307, 726, 26884, 26834, 24018, 16906, 28045, 28334, 27793, 27414, 16927, 7598, 7609, 14843, 14925]",183,0,0,36,147,1981-08-24 22:45:13,2000-05-31 17:24:26
45,P000045,Expanded modular hardware,DIS66644c,"[8564, 8963, 21340, 29464, 33926, 14247, 29175, 28595, 28737, 25700]",268,0,96,127,45,1980-06-19 04:06:15,2011-03-18 00:40:41
46,P000046,Pre-emptive full-range task-force,HbC18670m,"[18555, 18507, 11702, 15720, 16056, 8228, 8034, 16939, 18143, 19504, 19369, 7572, 7654, 18869, 18778]",267,0,24,70,173,1997-06-24 10:45:39,2016-08-13 06:14:24
47,P000047,Self-enabling local function,Ynj89072Q,"[11770, 15296, 3912, 13627, 22567, 22460, 26770, 22802, 2302, 2352]",276,0,39,3,234,1988-12-31 23:26:39,2002-12-28 06:31:12
48,P000048,Team-oriented impactful definition,FjE90614s,"[29543, 30039, 15086, 4438, 4717]",72,0,89,129,-146,1984-12-30 23:06:07,1995-11-06 05:45:38
49,P000049,Fully-configurable disintermediate hardware,EXB51291e,"[28712, 28479, 24274, 18864, 13464, 5453, 4967]",198,0,33,9,156,1984-11-17 06:23:06,1992-09-02 22:16:12
50,P000050,Reduced context-sensitive solution,OxO30034F,"[8835, 9249, 9293, 16618, 20442, 2772, 16880, 16861, 5765, 18400]",191,0,42,75,74,1983-10-04 13:42:02,2010-09-25 21:54:41
51,P000051,Visionary executive conglomeration,jDS74559i,"[22220, 22264, 16965, 7581, 15762, 27792, 27700, 29446, 28996, 26430, 26433, 22539, 27952, 24046, 19801, 13721, 13866]",355,0,10,35,310,1975-09-30 20:37:01,2011-08-12 04:33:47
52,P000052,Down-sized impactful system engine,yDw94517A,"[10942, 34028, 2166, 2308, 15170, 15351, 8915, 8822, 11115, 11093, 14308, 3213, 3482, 9199, 9363, 26929, 33238, 33190]",391,0,38,6,347,1971-11-16 00:20:36,1981-09-25 06:07:26
53,P000053,Compatible upward-trending moderator,zhT98204h,"[32483, 32377, 32677, 22060, 23643, 23765, 16333, 10757, 1307, 19025, 18957, 25355, 22052, 4829]",307,0,10,0,297,1980-05-20 08:57:01,1983-09-28 12:22:32
54,P000054,Persistent exuding workforce,hAo78118I,"[26644, 26628, 21465, 11554, 3700, 15644, 25200, 26417, 26524, 13707]",248,0,0,88,160,1972-06-24 22:47:00,1974-04-25 18:44:45
55,P000055,Programmable maximized benchmark,toW32855W,"[22169, 20944, 31077, 2551, 2369, 12423, 21686, 24486, 4957]",137,0,120,0,17,2022-10-31 17:30:32,2024-05-29 01:38:52
56,P000056,Front-line solution-oriented software,kYe78930C,"[30746, 30677, 20406, 16618, 5853, 5865, 4487]",123,0,0,45,78,2003-12-30 05:46:25,2005-12-23 19:46:00
57,P000057,Synchronized bifurcated data-warehouse,adG07218D,"[18626, 2368, 22868, 15590, 32353, 15345, 32188, 32386]",220,0,102,0,118,1982-05-16 03:30:42,1993-04-06 02:37:21
58,P000058,Pre-emptive zero tolerance encryption,mrW29588I,"[11334, 11400, 17425, 17074, 5452]",48,0,15,109,-76,2000-05-24 17:52:01,2007-06-30 19:56:22
59,P000059,Quality-focused stable Internet solution,AOw57494c,"[22503, 22604, 28992, 27687, 11703, 12247, 12154, 4899, 4888]",168,0,15,29,124,2019-07-01 20:07:00,2023-09-19 02:25:47
60,P000060,Cross-group static knowledge user,vNn47036D,"[23715, 23637, 8749, 9034, 3530, 22281, 3524, 3438, 6258, 3500]",141,0,46,65,30,1991-02-05 09:52:25,2014-03-09 08:32:56
61,P000061,Reduced even-keeled groupware,Wnk75266W,"[26565, 9427, 15097, 15073, 4071, 5529, 8761, 8468, 14456, 25991, 25166, 2322, 29359]",330,0,55,0,275,1990-04-14 06:12:34,2020-09-22 12:32:59
62,P000062,Multi-lateral neutral encoding,Qrv20944Y,"[34161, 33079, 32929, 5297, 20632, 30667, 3929]",117,0,1,67,49,1972-04-08 10:21:17,1986-12-29 12:35:05
63,P000063,Automated uniform hierarchy,Rpc86138Q,"[25093, 7687, 27991, 27984, 4809, 4799, 34045, 34408]",93,0,39,0,54,1976-06-07 21:54:23,1993-02-25 15:46:17
64,P000064,Customer-focused responsive protocol,MkW00164z,"[34104, 13703, 19996]",110,0,109,102,-101,1973-08-27 02:36:06,1996-04-23 07:38:20
65,P000065,Mandatory didactic collaboration,KTK35851z,"[15358, 15200, 16920, 16782, 28107, 26905, 27013, 5552, 29277, 10748, 19753, 19982]",197,0,52,41,104,1980-12-13 12:15:39,2008-11-24 10:10:38
66,P000066,Balanced demand-driven monitoring,xeR50277j,"[23836, 27801, 23630, 23809, 25997]",53,0,126,82,-155,2001-01-07 19:54:08,2012-10-04 18:14:40
67,P000067,Stand-alone disintermediate support,tgu41706n,"[3558, 3648, 18420, 18596, 968, 33750, 34181, 3413, 3203, 33516, 170, 7425]",173,0,75,44,54,1991-05-21 20:08:47,1994-07-04 07:29:18
68,P000068,Re-engineered hybrid analyzer,mzZ71998n,"[7514, 7746, 1445, 14609, 14449, 4883, 33925, 33823, 32435, 8085, 8208, 11507, 11466, 7, 14178]",188,0,0,38,150,2011-06-08 22:46:37,2013-04-18 19:35:19
69,P000069,Automated incremental parallelism,tdR87659H,"[31812, 8578, 9312, 3051, 25392, 8486, 8631, 26009, 25564, 25623, 26575]",181,0,18,15,148,2013-04-19 15:20:43,2021-04-15 17:04:22
70,P000070,Devolved optimizing neural-net,tRP99229K,"[23554, 23235, 33717, 33811, 22511, 22537, 23756, 26784, 26835]",100,0,0,0,100,1973-05-02 11:14:49,2003-06-01 23:48:05
71,P000071,Configurable multi-state policy,WfI96808X,"[27240, 14932, 25644, 25634, 26889, 26702, 15584, 26484, 23125, 23425, 23323, 20891, 20982, 20918, 22359, 22071]",314,0,29,0,285,2020-03-08 09:58:19,2021-04-05 22:00:31
72,P000072,Advanced intangible product,tQT64701A,"[8970, 15367, 141, 70, 18005, 25501]",147,0,53,0,94,2001-11-30 13:14:12,2008-01-30 21:45:15
73,P000073,Distributed grid-enabled secured line,WsJ11116e,"[2030, 31499, 31663, 31544, 22478, 31985, 389, 4298, 4313]",137,0,0,75,62,2011-11-10 10:00:49,2018-05-05 01:12:31
74,P000074,Organic discrete productivity,JsP46718J,"[12079, 7392, 7968, 16952, 11386, 26650, 1395, 8359, 9027, 2093, 1327, 6457]",259,0,36,15,208,2021-02-15 09:29:05,2023-08-12 14:29:52
75,P000075,Polarized maximized encoding,wLV89029n,"[25288, 16816, 26771, 2589, 2339, 26395, 11445, 34432]",160,0,104,33,23,2011-09-04 17:37:49,2014-05-12 20:43:23
76,P000076,Advanced clear-thinking superstructure,ysm26541O,"[9176, 11092, 21848, 6928, 7007, 27574, 4940, 5381]",190,0,1,33,156,2000-01-25 15:47:38,2016-05-31 08:46:12
77,P000077,Business-focused fresh-thinking firmware,cAk93073x,"[32915, 33594, 17207, 20999, 20934, 13806, 13976, 15862, 16172, 30637]",116,0,33,0,83,1996-03-01 19:25:30,2013-03-19 23:09:39
78,P000078,Triple-buffered maximized complexity,QgJ23358m,"[18204, 17785, 21994, 22221, 11939]",80,0,0,0,80,1976-12-22 00:53:23,1987-12-20 04:29:45
79,P000079,Digitized zero tolerance productivity,rGW22969o,"[4922, 4867, 13642, 19855, 25546, 25574, 32685, 32219, 18160, 9017, 2950, 23837, 23712, 18032, 15033, 4421, 4312, 32644, 22566]",313,0,117,113,83,1984-04-06 12:37:56,1992-09-07 18:35:41
80,P000080,Switchable coherent workforce,qzU99692C,"[22108, 2911, 27410, 14178, 14391, 12796, 14681, 115, 18194, 25762, 24760]",230,0,138,100,-8,2009-05-13 22:31:50,2011-02-19 18:54:31
81,P000081,Reduced analyzing intranet,hrG70465j,"[10187, 24376, 24541, 4277, 11530, 24061, 19820, 23406, 23301, 2194]",184,0,40,38,106,1999-02-03 14:17:45,2016-08-05 07:00:13
82,P000082,Versatile systematic alliance,Xxb77884V,"[24204, 23874, 30566, 1603, 7919, 7780, 31262, 31166, 2823, 14716, 15053, 25506, 25515, 5333]",183,0,39,0,144,1979-05-19 15:55:08,1995-07-24 05:48:32
83,P000083,Decentralized dedicated superstructure,UyQ72401e,"[20527, 20381, 24399, 28974, 29221, 24666, 25350, 13626, 13743, 4916, 4863, 13195, 12834, 25562, 8109]",316,0,0,0,316,2018-11-23 14:56:18,2021-07-22 15:41:09
84,P000084,Open-architected tertiary contingency,xQk78654R,"[21626, 12905, 23948, 32442, 1075, 305, 11400, 19065, 9295, 23173, 16334]",337,0,0,36,301,1995-09-07 07:15:07,1996-09-16 17:31:21
85,P000085,Right-sized contextually-based standardization,erD70287X,"[19681, 6987, 9888, 8175, 13397, 13388, 14644, 14780, 11437, 26193, 25970]",205,0,36,124,45,2015-10-07 03:52:58,2020-12-04 19:49:42
86,P000086,Persevering optimizing complexity,TWw61320t,"[15027, 27772, 11470, 11481, 16631, 16264, 25229, 13956, 13764, 30825, 31299, 20668, 695, 852, 4852, 32365, 32565]",368,0,73,118,177,2015-03-19 22:21:04,2022-11-02 10:14:45
87,P000087,Vision-oriented zero administration definition,VuK69976H,"[6564, 6977, 32405, 6731]",27,0,71,15,-59,2024-06-07 07:44:41,2024-08-10 00:04:03
88,P000088,Centralized cohesive architecture,LPs95295z,"[8214, 18512, 3272, 2959, 9375, 28727, 28020, 4921, 7861, 7659, 13632, 25943, 10235, 10112, 5688]",372,0,90,91,191,1979-06-24 09:52:11,1992-01-22 14:03:45
89,P000089,Synergized dynamic groupware,aiK47606K,"[33593, 25435, 25492, 26526, 26495, 6157, 16724, 4413, 4491, 15177, 15271, 9512]",262,0,13,38,211,1975-05-06 20:33:21,2008-09-18 09:02:02
90,P000090,Polarized systemic intranet,rtg82317o,"[26523, 23340, 21979, 20006, 25669, 25700, 18302, 82, 12693, 30503, 26401, 25936]",253,0,0,74,179,1993-10-11 20:56:21,2011-04-25 12:36:32
91,P000091,Exclusive mobile process improvement,Yyx05761Y,"[26732, 11629, 2739, 3011, 9569, 9968, 13811, 25369, 25125, 16048, 27195]",133,0,12,76,45,1983-11-09 15:20:47,2020-09-11 08:36:49
92,P000092,Up-sized transitional encryption,MeR42419D,"[27658, 34155, 34171, 25786, 34038, 12832, 13017, 24284, 24181, 189, 25970, 23658, 23685, 5206, 26255]",308,0,60,56,192,1974-10-01 07:09:55,2008-04-26 03:17:10
93,P000093,Decentralized multi-tasking website,yLv66713C,"[26563, 16084, 16110, 5051, 13453, 13312, 25814, 25794, 25451, 22009, 14378, 9317, 9194, 5037]",264,0,84,24,156,1995-08-22 01:46:19,2009-09-15 20:46:15
94,P000094,Centralized even-keeled protocol,HGF10734s,"[8409, 26575, 20129, 18536, 18446, 23701, 22611]",53,0,0,74,-21,1989-01-15 11:05:41,2018-08-13 19:50:05
95,P000095,Progressive real-time budgetary management,iib94311r,"[21716, 21527, 34405, 34124, 14916, 10879, 31088]",154,0,0,53,101,1972-06-21 17:33:38,2004-01-24 13:36:51
96,P000096,Multi-channeled analyzing functionalities,qwk85471u,"[20223, 20068, 23389, 3463, 3443, 29508, 2196, 34190, 15563, 15753, 21858]",177,0,44,18,115,2015-11-29 22:36:06,2021-08-16 21:58:58
97,P000097,Digitized transitional encryption,bAa02241D,[6468],16,0,0,0,16,2009-11-29 13:40:10,2013-03-27 21:20:08
98,P000098,Focused human-resource implementation,XLE77785i,"[20755, 18414, 19238, 19563, 13464, 29551, 31012, 30789, 5347]",135,0,0,23,112,1991-08-30 10:42:53,1999-11-04 16:22:40
99,P000099,Inverse next generation methodology,XqM85524U,"[18586, 25803, 34422, 34523, 23423, 23080, 3669, 3603, 13470, 13480, 7762, 7430]",122,0,130,32,-40,1994-10-12 07:36:34,2022-07-30 11:32:29
100,P000100,Grass-roots human-resource strategy,ZhQ75651e,"[20486, 13649, 18410, 6734, 15930, 16140, 12141, 15430, 15929, 2516, 5470, 25479, 25613]",263,0,65,22,176,1991-03-27 20:13:23,2018-01-12 05:42:21
101,P000101,Secured logistical matrices,IAD70963r,"[15380, 15167, 34398, 34475, 22855, 22497, 22321, 22344, 26708, 16242, 15317, 15198, 5273, 25610, 25637]",216,0,108,135,-27,1991-05-24 23:46:05,2002-10-12 19:04:34
102,P000102,Reactive mobile paradigm,xKJ51520c,"[10343, 25700, 3225, 27414, 2237]",181,0,90,33,58,2024-04-08 23:23:13,2024-07-17 05:46:02
103,P000103,Digitized disintermediate success,jVA66615K,"[34349, 29214, 21792, 33878, 7001, 6633, 20222, 30609]",174,0,49,11,114,2016-11-30 06:02:37,2020-09-20 01:46:26
104,P000104,Enterprise-wide solution-oriented focus group,RnV03385d,"[14721, 15002, 23715, 23641, 24188, 24336, 10538, 10386, 19323, 19411, 19910, 20337, 27421, 27154, 19613, 19461]",215,0,56,82,77,2021-07-20 18:34:59,2022-08-18 04:40:30
105,P000105,Profound exuding product,QsM55228i,"[25538, 30706, 32603, 5004, 23944, 24476, 30441, 32625, 31840, 31065]",284,0,0,8,276,1995-12-14 14:59:04,2017-05-31 12:31:04
106,P000106,Synergized asynchronous initiative,JeW57065e,[25818],26,0,143,52,-169,1972-06-15 22:46:24,2000-12-02 23:57:38
107,P000107,Sharable transitional archive,oro88333g,"[33742, 22304, 20344, 15041]",115,0,103,31,-19,2016-03-06 01:02:36,2018-12-25 13:08:30
108,P000108,Total web-enabled website,JVS23952A,"[21221, 21082, 27976, 9287, 31675, 31978, 22366, 20637]",149,0,20,121,8,2011-12-19 18:25:19,2021-07-07 00:23:16
109,P000109,Networked tertiary budgetary management,FRR80554v,"[9340, 20776, 20695, 21793, 15215, 18975, 18687, 19345, 19397, 26540]",224,0,11,34,179,1995-05-15 21:58:53,2021-11-25 21:09:31
110,P000110,Re-engineered tertiary archive,oqD97813A,"[20541, 26826, 33902, 34399, 25748, 6438, 20577, 4158]",168,0,41,48,79,2019-03-19 06:51:53,2020-04-11 18:20:32
111,P000111,Extended motivating help-desk,Ila93380G,"[9783, 24999, 12888, 12731, 21183, 25513, 22169, 14121, 20521, 20331, 8484, 26944]",274,0,46,20,208,1971-11-24 21:07:33,1982-02-19 22:07:22
112,P000112,Expanded next generation circuit,rjZ89010I,"[13746, 4397, 4287, 11635, 32838, 33557, 14570, 14108, 13837, 14069, 26222, 26080]",245,0,30,74,141,2002-11-02 05:58:50,2022-12-29 07:04:23
113,P000113,Business-focused object-oriented time-frame,wfM84089F,"[18301, 17955, 23996, 24397, 31682, 20424, 11591, 11664, 16308, 31727]",185,0,19,30,136,2021-01-21 06:01:18,2022-06-08 11:21:23
114,P000114,Implemented interactive leverage,vQa57525a,"[8063, 34223, 33674, 33676, 28570, 34474, 9265, 15339, 15156, 10898, 8347, 8711, 26683]",345,0,45,82,218,2018-11-03 23:51:51,2022-02-05 09:11:30
115,P000115,Seamless tangible toolset,exV02331W,"[16966, 7606, 7706, 27992, 24684, 25825, 23784, 11366, 11472, 5400, 5152, 6628, 6817]",231,0,65,24,142,1986-08-28 00:48:33,2018-06-23 14:43:40
116,P000116,Object-based local hardware,lQy80419f,"[29162, 29374, 16827, 11239, 12379, 11965, 20276, 19910, 3265, 1789]",160,0,189,0,-29,2017-06-27 15:33:39,2019-03-11 10:10:08
117,P000117,Profound grid-enabled core,WhT31707R,"[15284, 14507, 14324, 13743, 13584, 33349, 18271, 18123, 4853, 4805, 20313]",172,0,47,85,40,2013-06-03 00:50:35,2023-10-17 02:07:34
118,P000118,Upgradable demand-driven structure,HZx50837J,"[31151, 31234, 12067, 28055, 28462, 15339, 26762, 14827, 15083, 470, 330]",283,0,4,159,120,2020-04-20 12:07:20,2020-08-15 10:52:42
119,P000119,Synergized encompassing software,ttu69299d,"[1504, 15698, 16075, 5412, 32957, 33054, 63, 21817, 21319, 22986, 22933, 19676, 26838, 33300, 32831]",248,0,0,45,203,1989-06-17 03:30:54,2000-08-01 16:22:51
120,P000120,User-friendly high-level middleware,nGa83729G,"[17699, 20984, 21117, 24677, 3477, 11255, 10953, 18654]",167,0,94,50,23,1974-08-27 10:40:46,1983-08-25 01:34:28
121,P000121,Persistent user-facing encryption,Jjp07353Z,"[26547, 8026, 8138, 22197, 14931, 14765, 7262, 11172, 10778]",223,0,12,53,158,2004-02-15 19:42:54,2004-03-14 15:03:15
122,P000122,Centralized next generation conglomeration,JKA81510P,"[14128, 14226, 183, 69, 19085, 20093, 19152]",190,0,66,26,98,2011-03-26 18:07:47,2012-02-24 13:32:43
123,P000123,Organic asymmetric data-warehouse,CRD57317J,"[7701, 18683, 19055, 2811, 33286, 26684, 25122, 24998, 25372]",185,0,16,20,149,2003-10-03 12:11:00,2024-08-07 10:58:47
124,P000124,Quality-focused neutral structure,eXI84155O,"[22518, 22876, 25847, 30265, 14057, 19034, 18685, 29646]",107,0,38,128,-59,1994-01-01 07:59:37,1995-08-13 08:28:00
125,P000125,Function-based bifurcated contingency,vVI49492b,"[25825, 15442, 21572, 21731, 32111, 32767, 359, 16099, 11383, 14644, 14844, 5122, 5285, 14654, 14935, 5958]",308,0,61,87,160,1975-02-27 20:42:59,1990-09-03 16:21:58
126,P000126,Compatible content-based neural-net,Ulo72189W,"[28357, 28675, 6685, 27930, 27121, 11130, 11095, 19670, 19819, 20165, 22999, 4902, 21055, 19030]",284,0,40,20,224,1999-03-09 02:04:55,2015-12-03 02:02:11
127,P000127,Customer-focused mission-critical orchestration,Ygw66780e,"[4184, 11703, 34153, 34361, 2851, 10744, 10831, 19002, 21432]",185,0,23,27,135,2012-09-09 22:09:10,2016-09-22 05:06:46
128,P000128,Virtual well-modulated portal,Tnn84266l,"[20714, 16841, 32123, 32623, 22016, 4335, 4274, 12440, 21105]",138,0,30,0,108,2017-05-19 18:49:07,2021-03-07 02:17:32
129,P000129,Organized modular installation,NLw22422f,"[21372, 1789, 9750, 18533, 18490, 22876, 22828, 30132, 20539, 25444]",230,0,3,75,152,1997-06-05 07:06:21,2019-02-21 13:20:43
130,P000130,Pre-emptive exuding function,UvW29779G,"[4809, 32254, 31393, 31256, 24731, 25278, 17154, 17053, 2876, 18215, 16737, 12141, 12336, 285]",283,0,43,66,174,2015-09-17 17:20:38,2024-06-03 13:08:26
131,P000131,Compatible executive array,fMW56296Q,"[26574, 5376, 18545, 24217, 16773, 16952, 30952, 31407, 32281, 21036, 21037, 1816, 17927]",312,0,53,26,233,2008-09-14 04:29:54,2017-12-20 22:06:20
