id,code,name,address,zip,city,province,country,contact,created_at,updated_at
11,FFCVNLU9,Stokkum distribution facility,Ibrahimsingel 6,1791LM,Stokkum,Flevoland,NL,"{'name': 'Jamie van Bruchem', 'phone': '+31(0)563-472814', 'email': 'lizzvan-duvenvoirde@example.org'}",2001-01-26 13:25:16,2012-10-14 14:49:08
12,QNPUNLGN,Deelen distribution location,Izebaan 79,4106 KO,Deelen,Drenthe,NL,"{'name': 'Yassin van de Noordmark', 'phone': '0452-876501', 'email': 'van-den-broekmadelief@example.org'}",1996-08-14 03:37:20,2023-03-11 01:27:41
13,LWXGNLT1,Westergeest cargo hub,Kayleighsteeg 809,6733VP,Westergeest,Friesland,NL,"{'name': 'Mustafa van Wijk', 'phone': '+31(0)50-3205485', 'email': 'ekwaadland@example.com'}",2010-05-13 04:17:01,2010-07-16 04:07:24
14,KBXWNLJ7,Meteren longterm center,Mikaboulevard 6,1794GI,Meteren,Zuid-Holland,NL,"{'name': 'Zoey Vignon', 'phone': '+3193 2060447', 'email': 'slelijveld@example.net'}",2001-04-28 00:43:39,2018-07-01 00:54:14
15,BWRXNLH6,Standdaarbuiten longterm facility,Louisedreef 0,5149 RW,Standdaarbuiten,Flevoland,NL,"{'name': 'Mette Brandt', 'phone': '+31879-728899', 'email': 'lvan-dooren@example.net'}",1983-07-10 13:29:30,2020-05-17 04:19:20
16,ABASNLBU,Noardburgum storage facility,Kaysteeg 840,2861KI,Noardburgum,Flevoland,NL,"{'name': 'Sepp Emmen-van Kasteelen', 'phone': '+31110-372934', 'email': 'overda@example.com'}",2020-04-07 17:21:39,2021-10-24 01:09:11
17,OPQVNLL7,Noordwelle storage hub,Haileysingel 07,2338JE,Noordwelle,Utrecht,NL,"{'name': 'Amber Zijlemans', 'phone': '0159-402718', 'email': 'van-voorhoutemir@example.com'}",1983-12-15 18:01:30,1996-09-19 07:49:15
18,BSCVNLHR,Gronsveld longterm facility,Lisabaan 819,3266 NS,Gronsveld,Utrecht,NL,"{'name': 'Ivy van Bernicia', 'phone': '(0974)-679850', 'email': 'larakuipers@example.com'}",1977-03-17 12:12:53,2024-04-26 10:54:05
19,IZYONLOQ,Tzummarum storage center,Angelinasingel 82,1155SC,Tzummarum,Zeeland,NL,"{'name': 'Leah Olykan', 'phone': '+31(0)881 668554', 'email': 'vtins@example.com'}",2002-07-04 22:20:12,2017-11-17 16:11:05
20,JLXDNLRH,Kerkrade distribution facility,Lucyweg 43,2569VO,Kerkrade,Flevoland,NL,"{'name': 'Sylvie van Formbach', 'phone': '+3169 0640203', 'email': 'mika45@example.com'}",2007-06-04 21:53:00,2019-02-27 08:31:40
21,QMCCNLD9,Sittard storage location,Rensbaan 1,9890 LY,Sittard,Zeeland,NL,"{'name': 'Lex Louws', 'phone': '+31(0)05-4740166', 'email': 'tinsmia@example.com'}",1989-02-03 23:08:57,2008-12-03 23:33:50
22,BJYCNLYS,Roderesch distribution hub,Juliadreef 55,6345 BX,Roderesch,Friesland,NL,"{'name': 'Rens Jansen-Fechant', 'phone': '099-1781807', 'email': 'le-grandnoor@example.net'}",1970-03-23 07:37:35,1970-12-26 14:30:51
23,PGDWNLWG,Heeswijk-Dinther longterm hub,Vigodreef 22,5066 GI,Heeswijk-Dinther,Friesland,NL,"{'name': 'Lana Schatteleijn', 'phone': '+31(0)25-1985675', 'email': 'xlathrope@example.org'}",1996-03-05 10:05:56,2002-02-06 08:17:34
24,ACBENL3A,Nieuwehorne distribution hub,Sofiaweg 913,1802 WP,Nieuwehorne,Utrecht,NL,"{'name': 'Ben Fortuyn-Schrik', 'phone': '+31(0)25-6865349', 'email': 'riley32@example.com'}",1977-11-17 01:10:40,1983-05-05 16:17:25
25,VWIZNLUF,Halle cargo center,Julessingel 5,7374 PM,Halle,Overijssel,NL,"{'name': 'Bas Scholten', 'phone': '+3137-8739738', 'email': 'sarakuipers@example.com'}",2004-05-16 09:41:47,2018-01-05 05:33:25
26,GPRPNLPT,Joppe air and road location,Lucasstraat 3,2727 VY,Joppe,Flevoland,NL,"{'name': ""Rosa van 't Erve-Berendse"", 'phone': '(0681) 626416', 'email': 'van-ommerenjan@example.net'}",2003-03-30 04:14:17,2019-11-14 08:04:39
27,FXJKNL4W,Nieuwer Ter Aa cargo location,Stellalaan 2,7158 IW,Nieuwer Ter Aa,Utrecht,NL,"{'name': 'Lenn de Hoogh-Verbruggen', 'phone': '+31021-231813', 'email': 'sterre34@example.com'}",2008-02-28 21:06:26,2013-11-06 14:01:58
28,UECCNLNT,Dieverbrug longterm location,Britthof 445,3854OR,Dieverbrug,Zuid-Holland,NL,"{'name': 'Liv Mulder', 'phone': '+3119-9768344', 'email': 'ouwerkerkyara@example.net'}",2000-03-12 18:50:47,2023-11-23 16:46:38
29,UBERNLTL,Einighausen air and road center,Sophiastraat 1,2605WX,Einighausen,Flevoland,NL,"{'name': 'Maurits van Doorn', 'phone': '+3191 2817485', 'email': 'jansenevy@example.org'}",1975-10-19 21:04:05,2005-04-22 23:58:02
30,TKHJNLZM,Zuiddorpe distribution center,Kayleesteeg 34,9163FX,Zuiddorpe,Friesland,NL,"{'name': 'Britt Labado', 'phone': '0760 793486', 'email': 'keanovan-der-horst@example.com'}",2023-01-26 17:11:45,2023-07-13 03:54:28
31,JFGQNLZM,Lichtaard cargo location,Oscarbaan 0,4396 RL,Lichtaard,Overijssel,NL,"{'name': 'Nynke Pierson', 'phone': '0927-531893', 'email': 'oheribert-van-laon@example.net'}",1974-11-14 17:13:40,2020-11-21 08:13:52
32,VMYWBEWK,Itegem longterm hub,Fransstraat 15,2042,Itegem,Oost-Vlaanderen,BE,"{'name': 'Jana Van Baelen', 'phone': '+32(0)93-6351025', 'email': 'freddy95@example.net'}",1991-01-16 19:20:30,1995-07-02 04:48:16
33,WECRBELD,Westende longterm hub,Lindaboulevard 027,6194,Westende,Oost-Vlaanderen,BE,"{'name': 'Jan Desmedt', 'phone': '057-0359147', 'email': 'marc05@example.net'}",1971-07-12 20:27:49,1974-09-27 02:25:06
34,FLKTBEW4,Mons distribution facility,Janweg 9,9002,Mons,Luxemburg,BE,"{'name': 'Chantal Coene', 'phone': '+3268 2640689', 'email': 'boeckxalain@example.net'}",2024-06-06 02:32:30,2024-08-21 21:18:33
35,VJBCBEIG,Nobressart distribution hub,Andreashof 73,3023,Nobressart,Luxemburg,BE,"{'name': 'Evelien De Bruyne Peeters', 'phone': '+32178 271511', 'email': 'maria54@example.org'}",1982-10-26 03:50:05,1991-05-07 01:00:26
36,NVUVBEBZ,Hensies longterm facility,Michelbaan 634,6256,Hensies,West-Vlaanderen,BE,"{'name': 'Nancy Van de Voorde', 'phone': '+32312 051533', 'email': 'jean04@example.org'}",1987-11-07 11:49:00,2018-06-09 20:14:26
37,XBICBEJ9,Fontaine-l'Evêque storage center,Eduardstraat 5,3122,Fontaine-l'Evêque,Limburg,BE,"{'name': 'Roger Simons', 'phone': '(059)-4911137', 'email': 'uvervoort@example.org'}",2008-07-09 08:12:26,2013-10-02 04:00:54
38,OJGTBEH8,Lanaye distribution hub,Jeanring 018,3229,Lanaye,Oost-Vlaanderen,BE,"{'name': 'Carlo Simons', 'phone': '06 065 45 35', 'email': 'emielverbeke@example.com'}",2014-08-11 22:50:47,2017-06-17 12:29:20
39,JQUWBEPM,Cour-sur-Heure longterm center,Ellenbaan 50,6326,Cour-sur-Heure,Namen,BE,"{'name': 'Sammy Segers', 'phone': '+32(0)46 5073533', 'email': 'emmadaniels@example.com'}",1987-05-21 10:51:45,1998-11-01 18:36:14
40,ABKMBEPE,Eigenbilzen air and road location,Katjasingel 6,6986,Eigenbilzen,Luxemburg,BE,"{'name': 'Els Smets', 'phone': '032 5659440', 'email': 'xdeleu@example.com'}",2024-05-09 16:07:25,2024-09-02 08:22:59
41,YDPLBEY2,Hakendover storage hub,Marcelstraat 5,1689,Hakendover,Henegouwen,BE,"{'name': 'Lotte Dobbelaere', 'phone': '(0441)-027017', 'email': 'wsanders@example.com'}",1975-07-31 23:56:47,1996-07-15 01:08:59
42,KVLOBEUH,Mere distribution facility,Matsdreef 2,8491,Mere,Luik,BE,"{'name': 'Mike Smeets', 'phone': '+32(0)488-011615', 'email': 'rvermeiren@example.net'}",1990-08-01 05:20:16,2004-10-02 08:57:08
43,YDKGBEPS,Lens-Saint-Remy air and road facility,Freddystraat 118,9637,Lens-Saint-Remy,Namen,BE,"{'name': 'Sam Peeters', 'phone': '+32231-246362', 'email': 'yverhulst@example.com'}",2012-07-06 02:54:52,2024-02-20 23:54:56
44,GWKKBE0Y,Châtelineau storage center,Birgitlei 2,9082,Châtelineau,Vlaams-Brabant,BE,"{'name': 'Ingrid Daems', 'phone': '(003) 9537465', 'email': 'callensgodelieve@example.org'}",2020-02-11 18:51:46,2020-05-17 06:40:36
45,THHKBEEQ,Kieldrecht air and road facility,Rogerdreef 0,3128,Kieldrecht,Luik,BE,"{'name': 'Peter Vandevelde', 'phone': '+32729 166461', 'email': 'dirk84@example.com'}",2024-05-14 17:07:09,2024-06-04 02:26:47
46,REALBEEJ,Oekene distribution facility,Daniellaan 1,3711,Oekene,Vlaams-Brabant,BE,"{'name': 'Imran Vandendriessche', 'phone': '(0532)-905203', 'email': 'willyverhaeghe@example.com'}",2009-11-15 09:02:25,2023-04-18 16:05:34
47,FDJGBE9H,Chanly air and road center,Marinaring 92,2605,Chanly,Namen,BE,"{'name': 'Bjorn Van Hecke', 'phone': '+32(0)725 516583', 'email': 'kenismaria@example.com'}",2014-05-29 09:23:40,2015-05-04 11:11:03
48,UQOJDEE9,Gießen distribution location,Wellerallee 3/7,84526,Gießen,Hamburg,DE,"{'name': 'Anto Kambs', 'phone': '00189 385803', 'email': 'adlerrosalinde@example.com'}",1990-11-17 01:06:55,2008-04-09 14:26:34
49,LXXCDES7,Sankt Goarshausen longterm facility,Pruschkestr. 1,69463,Sankt Goarshausen,Bremen,DE,"{'name': 'Dr. Arno Winkler B.Sc.', 'phone': '+49(0)1144615012', 'email': 'nerminladeck@example.com'}",2008-04-20 11:50:13,2024-03-28 22:17:37
50,UXRKDE29,Badoberan longterm facility,Vollbrechtstr. 847,74501,Badoberan,Niedersachsen,DE,"{'name': 'Reinhart Klemt', 'phone': '+49(0)3215 856979', 'email': 'rochushentschel@example.net'}",2003-02-13 06:56:58,2013-12-22 20:08:54
51,OXOMDE7A,Wernigerode storage hub,Heidemarie-Birnbaum-Ring 4/3,61818,Wernigerode,Brandenburg,DE,"{'name': 'Eleni Zimmer-Henschel', 'phone': '04398 496300', 'email': 'beckertuelay@example.com'}",1976-08-10 06:59:29,2014-07-01 07:33:54
52,OCVODE54,Stollberg air and road center,Rene-Schmiedt-Allee 11,01625,Stollberg,Nordrhein-Westfalen,DE,"{'name': 'Rebekka Geisler B.Sc.', 'phone': '06230538431', 'email': 'yheydrich@example.org'}",2000-04-22 11:28:17,2012-08-07 16:01:14
53,LERPDE9L,Neustadtner Waldnaab distribution center,Franz-Peter-Hettner-Allee 6,39261,Neustadtner Waldnaab,Sachsen,DE,"{'name': 'Frau Ayten Haering MBA.', 'phone': '05773 584153', 'email': 'isabellewulff@example.net'}",2005-01-29 06:28:53,2013-11-27 15:40:01
54,BAADDEXK,Regensburg cargo center,Birgitt-Scholtz-Allee 46,35725,Regensburg,Hamburg,DE,"{'name': 'Prof. Janet Sager', 'phone': '03888522177', 'email': 'doerschnerwenke@example.com'}",2009-06-14 21:02:25,2010-06-27 09:44:40
55,IUVSDETG,Waldmünchen longterm center,Gabriele-Junken-Ring 5/1,35099,Waldmünchen,Brandenburg,DE,"{'name': 'Bozena Steckel', 'phone': '(08587) 18542', 'email': 'adolfinehentschel@example.net'}",2006-08-31 03:38:40,2010-04-26 18:16:09
56,BOYUDE7O,Pasewalk longterm location,Konrad-Seip-Allee 66,49888,Pasewalk,Nordrhein-Westfalen,DE,"{'name': 'Ullrich Beier', 'phone': '+49(0)8660 573483', 'email': 'vbarkholz@example.com'}",1979-10-03 07:33:35,1993-08-05 16:12:41
57,MOOODEEX,Bischofswerda longterm facility,Melissa-Bauer-Ring 1/7,37727,Bischofswerda,Nordrhein-Westfalen,DE,"{'name': 'Uwe Lindau', 'phone': '(06380) 715579', 'email': 'ilse44@example.org'}",1984-05-11 19:24:11,2022-06-19 14:32:50
58,WJKADEJE,Holzminden air and road hub,Sibilla-Hendriks-Gasse 5/8,05955,Holzminden,Saarland,DE,"{'name': 'Mirco Warmer', 'phone': '+49(0)0048791642', 'email': 'katjaklotz@example.net'}",1974-04-03 11:24:15,2021-12-08 15:59:38
